Date,Close
2023-01-05,1251.32
2023-01-06,1266.32
2023-01-07,1264.2
2023-01-08,1269.72
2023-01-09,1317.74
2023-01-10,1339.75
2023-01-11,1342.74
2023-01-12,1427.58
2023-01-13,1456.07
2023-01-14,1538.04
2023-01-15,1552.35
2023-01-16,1579.41
2023-01-17,1581.5
2023-01-18,1528.2
2023-01-19,1545.03
2023-01-20,1637.84
2023-01-21,1660.63
2023-01-22,1628.25
2023-01-23,1632.14
2023-01-24,1599.45
2023-01-25,1617.97
2023-01-26,1602.99
2023-01-27,1598.72
2023-01-28,1567.24
2023-01-29,1643.21
2023-01-30,1557.18
2023-01-31,1576.74
2023-02-01,1635.79
2023-02-02,1640.8
2023-02-03,1657.36
2023-02-04,1678.81
2023-02-05,1622.4
2023-02-06,1638.37
2023-02-07,1667.49
2023-02-08,1652.81
2023-02-09,1541.0
2023-02-10,1507.0
2023-02-11,1535.6
2023-02-12,1511.92
2023-02-13,1486.15
2023-02-14,1555.78
2023-02-15,1665.44
2023-02-16,1682.03
2023-02-17,1695.34
2023-02-18,1688.0
2023-02-19,1686.12
2023-02-20,1700.7
2023-02-21,1641.12
2023-02-22,1619.33
2023-02-23,1646.58
2023-02-24,1602.99
2023-02-25,1574.0
2023-02-26,1642.65
2023-02-27,1627.28
2023-02-28,1605.47
2023-03-01,1656.7
2023-03-02,1641.69
2023-03-03,1558.69
2023-03-04,1556.43
2023-03-05,1571.74
2023-03-06,1566.31
2023-03-07,1550.4
2023-03-08,1552.67
2023-03-09,1432.87
2023-03-10,1426.2
2023-03-11,1475.61
2023-03-12,1562.36
2023-03-13,1672.75
2023-03-14,1708.72
2023-03-15,1652.89
2023-03-16,1658.91
2023-03-17,1743.94
2023-03-18,1796.69
2023-03-19,1799.55
2023-03-20,1760.3
2023-03-21,1798.2
2023-03-22,1736.07
2023-03-23,1817.2
2023-03-24,1750.0
2023-03-25,1732.01
2023-03-26,1761.52
2023-03-27,1707.6
2023-03-28,1774.61
2023-03-29,1803.13
2023-03-30,1795.1
2023-03-31,1817.14
2023-04-01,1817.06
2023-04-02,1789.24
2023-04-03,1780.58
2023-04-04,1879.0
2023-04-05,1905.27
2023-04-06,1865.02
2023-04-07,1853.74
2023-04-08,1855.68
2023-04-09,1857.01
2023-04-10,1885.87
2023-04-11,1895.2
2023-04-12,1908.85
2023-04-13,2008.64
2023-04-14,2107.57
2023-04-15,2089.25
2023-04-16,2122.92
2023-04-17,2078.22
2023-04-18,2092.83
2023-04-19,1981.65
2023-04-20,1938.1
2023-04-21,1838.38
2023-04-22,1868.86
2023-04-23,1848.21
2023-04-24,1837.7
2023-04-25,1860.78
2023-04-26,1865.73
2023-04-27,1919.58
2023-04-28,1895.84
2023-04-29,1904.53
2023-04-30,1892.35
2023-05-01,1809.79
2023-05-02,1870.08
2023-05-03,1874.03
2023-05-04,1878.06
2023-05-05,1990.86
2023-05-06,1898.07
2023-05-07,1913.16
2023-05-08,1840.91
2023-05-09,1848.64
2023-05-10,1858.8
2023-05-11,1796.09
2023-05-12,1788.28
2023-05-13,1804.4
2023-05-14,1799.1
2023-05-15,1826.27
2023-05-16,1821.41
2023-05-17,1826.2
2023-05-18,1796.79
2023-05-19,1812.7
2023-05-20,1817.13
2023-05-21,1806.42
2023-05-22,1818.16
2023-05-23,1854.86
2023-05-24,1804.97
2023-05-25,1809.86
2023-05-26,1835.42
2023-05-27,1827.72
2023-05-28,1854.69
2023-05-29,1893.48
2023-05-30,1904.12
2023-05-31,1865.88
2023-06-01,1869.0
2023-06-02,1905.58
2023-06-03,1888.02
2023-06-04,1904.47
2023-06-05,1804.84
2023-06-06,1876.99
2023-06-07,1841.52
2023-06-08,1853.42
2023-06-09,1835.97
